發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
108,3,11,10,25,2,01大同區,大同區承德路2段與南京西路口,0,1,1,B03,2.0,54.0,3.0,8.0,50.0,4.0,1.0
108,2,23,12,30,2,01大同區,大同區民生西路300號,0,1,1,B03,2.0,42.0,3.0,7.0,50.0,15.0,9.0
108,2,23,16,12,2,01大同區,大同區環河北路2段145巷2號對面,0,3,2,B03,2.0,29.0,2.0,6.0,0.0,14.0,9.0
108,3,5,18,39,2,01大同區,大同區民權西路144巷與民權西路160巷26弄口,0,1,1,B03,2.0,28.0,3.0,7.0,30.0,4.0,1.0
108,3,6,23,12,2,01大同區,大同區承德路3段與敦煌路口,0,1,1,B03,2.0,19.0,3.0,6.0,50.0,4.0,1.0
108,3,12,22,10,2,01大同區,大同區市民高架道東往西方向,0,3,2,B03,2.0,53.0,3.0,7.0,60.0,10.0,9.0
108,3,12,22,10,2,01大同區,大同區市民高架道東往西方向,0,3,3,B03,2.0,29.0,2.0,7.0,60.0,10.0,9.0
108,3,7,19,45,2,01大同區,大同區鄭州路與延平北路1段口,0,1,1,B03,2.0,58.0,3.0,6.0,50.0,4.0,2.0
108,4,15,19,22,2,01大同區,大同區重慶北路3段與民權西路口,0,1,1,B03,2.0,31.0,3.0,6.0,50.0,4.0,2.0
108,5,4,0,38,2,01大同區,大同區市民高架道接忠孝橋,0,2,1,B03,2.0,41.0,2.0,7.0,40.0,11.0,9.0
108,3,16,20,10,2,01大同區,大同區承德路3段與承德路3段208巷口,0,2,1,B03,2.0,69.0,2.0,8.0,50.0,4.0,1.0
108,4,30,19,33,2,01大同區,大同區延平北路2段與歸綏街口,0,1,1,B02,2.0,50.0,3.0,8.0,50.0,4.0,1.0
108,1,30,13,30,2,01大同區,大同區民生西路與延平北路2段口,0,2,2,B03,2.0,56.0,2.0,8.0,50.0,4.0,1.0
108,7,4,9,50,2,01大同區,大同區市民大道1段與太原路11弄口,0,1,1,B03,2.0,28.0,3.0,8.0,40.0,3.0,1.0
108,8,17,12,40,2,01大同區,大同區錦西街與寧夏路口,0,2,2,B03,2.0,32.0,3.0,8.0,50.0,4.0,1.0
108,6,23,18,8,2,01大同區,大同區民族西路與大龍街177巷口,0,2,1,B03,2.0,37.0,3.0,6.0,50.0,3.0,4.0
108,7,19,7,33,2,01大同區,大同區民權西路與迪化街1段口,0,2,2,B03,2.0,43.0,3.0,8.0,50.0,4.0,2.0
108,6,2,22,28,2,01大同區,大同區承德路1段與長安西路口,0,1,1,B03,2.0,32.0,3.0,7.0,50.0,4.0,1.0
108,5,13,10,31,2,01大同區,大同區敦煌路與環河北路2段口,0,1,1,B03,2.0,43.0,3.0,8.0,50.0,11.0,9.0
108,6,13,11,59,2,01大同區,大同區承德路3段14號,0,2,1,B02,2.0,23.0,2.0,6.0,50.0,14.0,9.0
108,6,13,11,59,2,01大同區,大同區承德路3段14號,0,2,2,B03,2.0,56.0,2.0,6.0,50.0,14.0,9.0
108,6,20,15,15,2,01大同區,大同區承德路1段與鄭州路口,0,1,1,B02,2.0,44.0,3.0,8.0,50.0,4.0,1.0
108,9,15,14,25,2,01大同區,大同區民權西路194號中油加油站出入口,0,2,1,B03,2.0,20.0,4.0,6.0,50.0,15.0,9.0
108,6,29,10,5,2,01大同區,大同區昌吉街132巷與昌吉街口,0,1,1,B03,2.0,55.0,3.0,8.0,50.0,4.0,1.0
108,11,1,22,49,2,01大同區,大同區民權西路102巷33弄與民權西路102巷口,0,1,2,B03,2.0,38.0,3.0,8.0,30.0,4.0,1.0
108,7,15,16,19,2,01大同區,大同區環河北路1段75號,0,1,2,B03,2.0,45.0,3.0,7.0,50.0,14.0,9.0
