發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
109,3,31,0,2,1,03中山區,中山區南京東路3段與龍江路口,1,0.0,0,2,C03,8.0,3.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,5.0,5.0,2.0,16.0,1,32.0,1.0,9.0,3.0,4.0,,7.0,9.0,1.0,10.0,9.0,11.0,42.0,6.0,1.0,22.0,9.0,121.5404343,25.05185423
109,4,6,10,10,2,11南港區,南港區南港路1段32號,0,1.0,1,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,1,71.0,5.0,9.0,1.0,4.0,,7.0,21.0,1.0,10.0,1.0,15.0,17.0,17.0,1.0,22.0,9.0,121.6169255,25.0551563
109,4,8,21,51,2,01大同區,大同區重慶北路2段與涼州街口,0,1.0,1,1,H01,8.0,3.0,5.0,0,4.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,2,69.0,5.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,52.0,1.0,22.0,9.0,121.5136116,25.06073185
109,4,10,15,7,1,11南港區,南港區南深路50號對面,1,0.0,0,1,C03,8.0,1.0,5.0,30,12.0,8.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,3.0,4.0,1.0,18.0,2,43.0,1.0,4.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,42.0,42.0,1.0,22.0,9.0,121.623635,25.02199297
109,4,11,23,32,1,04大安區,大安區羅斯福路3段297號,1,0.0,0,2,H01,6.0,3.0,5.0,40,14.0,10.0,1.0,4.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,1,64.0,1.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,15.0,1.0,22.0,9.0,121.5316256,25.01746556
109,4,24,20,12,1,08士林區,士林區承德路5段與承德路5段150巷口口,1,0.0,0,2,C01,8.0,3.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,3.0,4.0,4.0,2.0,16.0,1,23.0,1.0,1.0,1.0,1.0,,7.0,9.0,4.0,10.0,9.0,11.0,13.0,25.0,1.0,22.0,9.0,121.513199,25.09778508
109,5,4,9,45,1,03中山區,中山區林森北路與德惠街口,1,0.0,1,3,H01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,2,94.0,1.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,15.0,1.0,22.0,9.0,121.5257049,25.066719
109,5,4,11,24,2,01大同區,大同區民權西路235號,0,1.0,1,2,H01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,1.0,9.0,1,68.0,5.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,23.0,1.0,22.0,9.0,121.5119238,25.06307004
109,5,5,17,29,1,08士林區,士林區新安路與新安路56巷口,1,0.0,0,1,G02,8.0,1.0,5.0,50,3.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,1.0,26.0,1,71.0,1.0,1.0,3.0,4.0,,7.0,21.0,1.0,8.0,9.0,1.0,43.0,43.0,1.0,22.0,9.0,121.5552952,25.12114162
109,5,10,18,44,1,08士林區,士林區延平北路7段106巷與延平北路7段106巷口往社子大橋上橋處,1,0.0,1,2,C03,8.0,3.0,5.0,30,3.0,2.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,10.0,4.0,5.0,1.0,16.0,1,72.0,1.0,9.0,3.0,4.0,,7.0,21.0,1.0,10.0,9.0,15.0,44.0,25.0,1.0,22.0,9.0,121.494979,25.1100506
109,5,11,17,22,2,01大同區,大同區承德橋往士林機車道,0,1.0,1,2,F01,8.0,1.0,5.0,40,8.0,11.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,77.0,5.0,9.0,4.0,4.0,,7.0,15.0,8.0,20.0,2.0,16.0,44.0,23.0,1.0,22.0,9.0,121.5210554,25.0778748
109,5,13,16,22,2,01大同區,大同區台北橋機車道往三重,0,1.0,0,2,H01,8.0,1.0,5.0,50,8.0,11.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,3.0,5.0,2.0,9.0,1,84.0,5.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,1.0,16.0,52.0,23.0,1.0,22.0,9.0,121.5105022,25.0630729
109,5,14,5,48,1,05中正區,中正區中華路2段與西藏路口,1,0.0,0,1,C04,8.0,1.0,5.0,30,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,4.0,4.0,2.0,15.0,1,45.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,11.0,9.0,11.0,25.0,25.0,1.0,22.0,9.0,121.5041676,25.03005066
109,5,14,12,50,1,02萬華區,萬華區萬大路346號,1,0.0,1,1,H01,8.0,1.0,5.0,30,14.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,10.0,3.0,5.0,1.0,3.0,1,71.0,1.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,52.0,1.0,22.0,9.0,121.4995577,25.02297427
109,5,20,12,34,2,02萬華區,萬華區大理街160巷26弄與艋舺大道口,0,1.0,0,2,H01,6.0,1.0,5.0,50,4.0,1.0,1.0,4.0,4.0,5.0,7.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,1,89.0,5.0,9.0,1.0,1.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,44.0,1.0,22.0,9.0,121.4947072,25.03174511
109,5,20,13,32,1,09北投區,北投區中央北路2段與文化三路口,1,0.0,0,2,H01,8.0,1.0,5.0,50,3.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,5.0,4.0,5.0,1.0,3.0,2,83.0,1.0,9.0,4.0,5.0,,8.0,18.0,8.0,20.0,11.0,16.0,52.0,15.0,1.0,22.0,9.0,121.4960804,25.136549
109,5,21,14,10,1,09北投區,北投區光明路121號,1,0.0,1,2,H01,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,5.0,5.0,2.0,1.0,2,70.0,1.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,23.0,1.0,22.0,9.0,121.5021731,25.13380457
109,5,29,10,44,1,02萬華區,萬華區西園路2段140巷48-1號,1,0.0,0,1,F01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,8.0,3.0,5.0,1.0,16.0,2,73.0,1.0,9.0,4.0,5.0,,7.0,9.0,8.0,20.0,9.0,15.0,23.0,23.0,1.0,22.0,9.0,121.4952231,25.03132208
109,5,31,23,23,1,06松山區,松山區民生東路4段與光復北路口,1,0.0,0,2,C03,7.0,3.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,3.0,5.0,2.0,11.0,1,18.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,3.0,12.0,13.0,6.0,1.0,22.0,9.0,121.5552396,25.05823631
109,6,8,3,6,1,03中山區,中山區中山橋南往北內側第一支燈桿,1,0.0,0,1,B03,8.0,3.0,5.0,40,11.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,2.0,4.0,5.0,2.0,20.0,1,25.0,1.0,1.0,2.0,4.0,,7.0,9.0,4.0,10.0,9.0,4.0,13.0,13.0,1.0,22.0,9.0,121.5248046,25.07388399
109,6,12,1,38,1,08士林區,士林區仰德大道1段NO007燈桿,1,0.0,0,1,C03,8.0,3.0,5.0,40,11.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,4.0,4.0,5.0,1.0,21.0,1,20.0,1.0,1.0,1.0,1.0,,7.0,9.0,3.0,18.0,9.0,11.0,42.0,42.0,1.0,22.0,9.0,121.5365554,25.10518144
109,6,18,7,13,1,12內湖區,內湖區南京東路6段與舊宗路1段口,1,0.0,0,1,C03,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,5.0,5.0,2.0,16.0,1,56.0,1.0,1.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,25.0,25.0,1.0,22.0,9.0,121.5815655,25.05697774
109,6,19,9,10,1,09北投區,北投區學園路1號,1,0.0,1,2,C03,8.0,1.0,5.0,30,15.0,9.0,1.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,5.0,2.0,17.0,1,20.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,43.0,26.0,1.0,22.0,9.0,121.4659501,25.1290175
109,6,20,23,14,1,02萬華區,萬華區華江橋往新北市與華江橋機車道口引道(還未上橋處),1,0.0,1,2,H01,8.0,3.0,5.0,40,14.0,11.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,5.0,2,66.0,1.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,9.0,16.0,53.0,23.0,1.0,22.0,9.0,121.4948941,25.03829543
109,6,23,16,15,1,12內湖區,內湖區成功路2段320巷與民權東路6段136巷口,1,0.0,0,2,H01,8.0,1.0,5.0,30,4.0,2.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,5.0,5.0,2.0,3.0,2,94.0,1.0,1.0,4.0,1.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,15.0,1.0,22.0,9.0,121.5877537,25.06764631
109,6,24,6,49,2,09北投區,北投區實踐街與石牌路1段39巷口,0,1.0,0,2,H01,8.0,1.0,5.0,30,5.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,5.0,5.0,2.0,3.0,2,88.0,5.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,43.0,1.0,22.0,9.0,121.509777,25.11523465
109,7,2,8,40,1,01大同區,大同區重慶北路3段與伊寧街口,1,0.0,0,1,H01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,2,85.0,1.0,3.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,15.0,52.0,52.0,1.0,22.0,9.0,121.5136021,25.06474337
109,7,4,2,52,1,07信義區,信義區信義路4段與基隆路1段口,1,0.0,0,2,H01,8.0,3.0,8.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,2,53.0,1.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,2.0,16.0,52.0,15.0,1.0,22.0,9.0,121.5592994,25.03312224
109,7,9,22,51,1,05中正區,中正區金山南路1段與濟南路2段口,1,0.0,0,2,F01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,3.0,4.0,5.0,2.0,17.0,2,73.0,1.0,1.0,3.0,4.0,,7.0,15.0,8.0,20.0,9.0,16.0,26.0,25.0,1.0,22.0,9.0,121.5292021,25.04083468
109,7,13,15,40,2,10文山區,文山區興隆路4段與下崙路口,0,1.0,0,2,H01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,1.0,9.0,2,70.0,5.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,44.0,1.0,22.0,9.0,121.5608811,24.98661191
109,7,15,11,20,2,01大同區,大同區延平北路4段與民族西路口,0,1.0,0,2,H01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,2,79.0,5.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,15.0,1.0,22.0,9.0,121.5108567,25.068731
109,7,18,8,40,2,04大安區,大安區敦化南路1段與信義路4段口,0,1.0,0,2,C03,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,2.0,16.0,1,24.0,5.0,1.0,1.0,1.0,,7.0,9.0,1.0,10.0,9.0,12.0,44.0,7.0,1.0,22.0,9.0,121.5490367,25.0331513
109,7,18,11,5,1,01大同區,大同區重慶北路1段與市民大道1段口,1,0.0,0,2,F01,8.0,1.0,5.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,3.0,5.0,2.0,17.0,1,78.0,1.0,1.0,4.0,4.0,,7.0,9.0,8.0,20.0,10.0,16.0,44.0,9.0,1.0,22.0,9.0,121.5134215,25.04958365
109,7,21,10,2,2,07信義區,信義區和平東路3段與安居街口,0,1.0,1,2,H01,8.0,1.0,5.0,50,3.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,2,69.0,5.0,9.0,4.0,5.0,,8.0,18.0,8.0,20.0,10.0,16.0,60.0,23.0,1.0,22.0,9.0,121.5555778,25.02159192
109,7,23,0,42,1,02萬華區,萬華區青年路與西藏路125巷口,1,0.0,1,1,H01,7.0,3.0,5.0,30,3.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,5.0,5.0,5.0,1.0,9.0,1,91.0,1.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,52.0,1.0,22.0,9.0,121.5037183,25.02518054
109,7,31,14,31,1,03中山區,中山區復興北路488號,1,0.0,0,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,2,23.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,12.0,44.0,43.0,1.0,22.0,9.0,121.5441964,25.06516638
109,8,26,22,24,1,10文山區,文山區興隆路3段與興德路口,1,0.0,1,2,H01,8.0,3.0,5.0,50,3.0,1.0,1.0,5.0,4.0,5.0,7.0,3.0,1.0,1.0,4.0,5.0,2.0,3.0,2,73.0,1.0,9.0,4.0,5.0,,8.0,18.0,8.0,20.0,10.0,16.0,51.0,23.0,1.0,22.0,9.0,121.5550019,25.00071158
109,9,2,10,1,1,09北投區,北投區大度路1段171號燈桿,1,0.0,0,1,C03,8.0,1.0,5.0,50,14.0,12.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,1.0,1.0,13.0,1,56.0,1.0,1.0,1.0,4.0,,7.0,9.0,1.0,10.0,11.0,11.0,23.0,23.0,1.0,22.0,9.0,121.4950743,25.12122062
109,9,6,4,0,1,02萬華區,萬華區堤外便道龍山忠孝3-02桿,1,0.0,0,1,C03,8.0,3.0,4.0,30,11.0,11.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,1.0,19.0,1,18.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,9.0,12.0,43.0,43.0,1.0,22.0,9.0,121.5038653,25.04723102
109,9,8,0,21,2,02萬華區,萬華區西園路2段與寶興街口,0,1.0,1,2,H01,8.0,3.0,5.0,50,4.0,1.0,1.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,1,71.0,5.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,11.0,16.0,67.0,44.0,1.0,22.0,9.0,121.4938419,25.02710549
109,9,16,12,24,1,09北投區,北投區中央北路4段601巷037燈桿,1,0.0,0,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,8.0,3.0,5.0,2.0,17.0,2,68.0,1.0,9.0,1.0,1.0,,7.0,4.0,1.0,10.0,2.0,11.0,44.0,8.0,1.0,22.0,9.0,121.4623746,25.12121512
