,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
16834,106,1,4,8,47,2,05中正區,中正區杭州南路1段14-5號,0,1,1,C03,1,24,2.0,8,50,4,2
16835,106,1,4,8,47,2,05中正區,中正區杭州南路1段14-5號,0,1,2,B01,1,59,3.0,8,50,4,2
16836,106,1,10,8,40,2,05中正區,中正區中華路1段與忠孝西路1段口,0,1,1,B03,1,42,3.0,8,50,14,9
16837,106,1,10,8,40,2,05中正區,中正區中華路1段與忠孝西路1段口,0,1,2,C03,2,43,2.0,8,50,14,9
16838,106,1,9,17,0,2,05中正區,中正區忠孝東路1段與天津街口,0,2,3,H03,2,22,2.0,8,50,4,1
16839,106,1,12,19,20,2,05中正區,中正區信義路2段與連雲街口,0,1,1,C03,1,25,3.0,8,50,14,7
16840,106,2,6,18,6,2,05中正區,中正區中山南路與凱達格蘭大道口,0,1,2,C03,2,43,2.0,8,50,4,1
16841,106,2,6,18,6,2,05中正區,中正區中山南路與凱達格蘭大道口,0,1,3,C03,1,42,3.0,8,50,4,1
16842,106,2,3,8,48,2,05中正區,中正區重慶南路1段(府前),0,1,1,C03,1,36,3.0,8,50,14,9
16843,106,2,3,8,48,2,05中正區,中正區重慶南路1段(府前),0,1,2,C03,2,44,2.0,8,50,14,9
16900,106,1,16,15,20,2,05中正區,中正區青島西路11號,0,1,1,B03,1,29,3.0,7,50,14,9
16901,106,1,16,15,20,2,05中正區,中正區青島西路11號,0,1,2,C03,1,19,2.0,7,50,14,9
16902,106,1,16,15,20,2,05中正區,中正區青島西路11號,0,1,3,H02,2,35,3.0,7,50,14,9
16903,106,1,15,4,30,2,05中正區,中正區中山南路與仁愛路1段口,0,1,1,C03,1,24,2.0,8,50,4,1
16904,106,1,15,4,30,2,05中正區,中正區中山南路與仁愛路1段口,0,1,2,B01,1,57,3.0,8,50,4,1
16905,106,1,17,23,3,2,05中正區,中正區市民大道3段與金山北路口,0,2,1,B03,1,20,3.0,8,40,4,1
16906,106,1,17,23,3,2,05中正區,中正區市民大道3段與金山北路口,0,2,2,B01,1,52,2.0,8,40,4,1
16907,106,1,17,23,3,2,05中正區,中正區市民大道3段與金山北路口,0,2,3,B03,2,47,2.0,8,40,4,1
16908,106,1,17,23,3,2,05中正區,中正區市民大道3段與金山北路口,0,2,4,B01,1,48,3.0,8,40,4,1
16909,106,1,22,8,50,2,05中正區,中正區仁愛路2段與金山南路1段口,0,2,1,B03,1,48,3.0,8,50,4,2
16910,106,1,22,8,50,2,05中正區,中正區仁愛路2段與金山南路1段口,0,2,2,C03,1,32,2.0,8,50,4,2
16911,106,1,22,8,50,2,05中正區,中正區仁愛路2段與金山南路1段口,0,2,3,C03,2,67,2.0,8,50,4,2
16912,106,1,22,11,25,2,05中正區,中正區中山南路與愛國東路口,0,1,1,C03,1,18,3.0,8,50,14,9
16913,106,1,22,11,25,2,05中正區,中正區中山南路與愛國東路口,0,1,2,C03,1,26,2.0,8,50,14,9
16914,106,1,23,12,7,2,05中正區,中正區鄭州路1段(桃捷前方),0,1,1,C03,2,24,3.0,7,40,14,9
16915,106,1,23,12,7,2,05中正區,中正區鄭州路1段(桃捷前方),0,1,2,C03,1,28,2.0,7,40,14,9
16916,106,1,23,12,7,2,05中正區,中正區鄭州路1段(桃捷前方),0,1,3,C03,2,36,3.0,7,40,14,9
16917,106,1,30,7,50,2,05中正區,中正區仁愛路2段與新生南路1段口,0,1,1,B03,1,41,3.0,6,50,4,1
16918,106,1,30,7,50,2,05中正區,中正區仁愛路2段與新生南路1段口,0,1,2,C03,2,23,2.0,6,50,4,1
16919,106,1,30,14,13,2,05中正區,中正區中山南路與凱達格蘭大道口,0,2,1,B03,1,31,3.0,7,50,3,1
16920,106,1,30,14,13,2,05中正區,中正區中山南路與凱達格蘭大道口,0,2,2,C03,1,23,2.0,7,50,3,1
16921,106,1,30,14,13,2,05中正區,中正區中山南路與凱達格蘭大道口,0,2,3,H02,2,52,2.0,7,50,3,1
16922,106,2,1,13,9,2,05中正區,中正區仁愛路2段與杭州南路1段口,0,1,1,B02,1,60,3.0,7,50,4,1
16923,106,2,1,13,9,2,05中正區,中正區仁愛路2段與杭州南路1段口,0,1,2,C03,2,64,2.0,7,50,4,1
16924,106,2,1,19,54,2,05中正區,中正區重慶南路1段與愛國西路口,0,1,1,B03,2,51,3.0,8,50,4,4
16925,106,2,1,19,54,2,05中正區,中正區重慶南路1段與愛國西路口,0,1,2,C03,1,70,2.0,8,50,4,4
16926,106,6,20,15,30,2,05中正區,中正區仁愛路2段與金山南路1段口,0,1,1,C03,1,22,2.0,8,50,14,7
