,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
22324,108,7,2,20,46,2,05中正區,中正區羅斯福路1段99號前,0,1,2,A02,1,57.0,3.0,6.0,50,14.0,8.0
22325,108,7,3,6,30,2,05中正區,中正區重慶南路2段與寧波西街口,0,1,1,B12,1,39.0,3.0,6.0,50,4.0,1.0
22326,108,7,3,6,30,2,05中正區,中正區重慶南路2段與寧波西街口,0,1,2,C03,2,25.0,2.0,6.0,50,4.0,1.0
22327,108,7,18,18,4,2,05中正區,中正區三元街與南海路口,0,1,1,B02,1,32.0,3.0,8.0,50,4.0,1.0
22328,108,7,18,18,4,2,05中正區,中正區三元街與南海路口,0,1,2,C03,1,18.0,2.0,8.0,50,4.0,1.0
22329,108,7,30,18,57,2,05中正區,中正區思源街16號與思源街口,0,1,1,B03,1,45.0,3.0,8.0,50,3.0,1.0
22330,108,7,30,18,57,2,05中正區,中正區思源街16號與思源街口,0,1,2,C03,1,37.0,2.0,8.0,50,3.0,1.0
22331,108,7,7,22,15,2,05中正區,中正區重慶南路3段與汀州路2段口,0,1,1,C03,1,44.0,3.0,8.0,40,4.0,1.0
22332,108,7,7,22,15,2,05中正區,中正區重慶南路3段與汀州路2段口,0,1,2,C03,1,39.0,2.0,8.0,40,4.0,1.0
22333,108,7,7,22,15,2,05中正區,中正區重慶南路3段與汀州路2段口,0,1,3,H02,2,37.0,4.0,8.0,40,4.0,1.0
22334,108,7,2,11,10,2,05中正區,中正區汀州路1段188號,0,2,2,C03,1,22.0,2.0,8.0,50,14.0,9.0
22335,108,7,3,17,57,2,05中正區,中正區汀州路1段與南海路口,0,1,1,B03,2,62.0,4.0,8.0,50,4.0,2.0
22336,108,7,3,17,57,2,05中正區,中正區汀州路1段與南海路口,0,1,2,H01,2,32.0,2.0,8.0,50,4.0,2.0
22337,108,7,8,10,38,2,05中正區,中正區惠安街7號,0,2,1,C03,1,19.0,2.0,8.0,50,14.0,9.0
22338,108,7,8,10,38,2,05中正區,中正區惠安街7號,0,2,2,H01,2,36.0,2.0,8.0,50,14.0,9.0
22339,108,7,12,9,40,2,05中正區,中正區汀州路1段與汀州路1段284巷口,0,1,1,C03,1,63.0,2.0,8.0,50,3.0,1.0
22340,108,7,12,9,40,2,05中正區,中正區汀州路1段與汀州路1段284巷口,0,1,2,B03,2,22.0,3.0,8.0,50,3.0,1.0
22341,108,7,15,9,7,2,05中正區,中正區羅斯福路4段與羅斯福路4段24巷口,0,2,1,C03,2,26.0,2.0,8.0,50,3.0,1.0
22342,108,7,15,9,7,2,05中正區,中正區羅斯福路4段與羅斯福路4段24巷口,0,2,2,C03,2,26.0,2.0,8.0,50,3.0,1.0
22343,108,7,24,17,50,2,05中正區,中正區重慶南路2段與南海路口,0,1,1,B01,1,68.0,3.0,8.0,50,4.0,1.0
22344,108,7,24,17,50,2,05中正區,中正區重慶南路2段與南海路口,0,1,2,C03,1,25.0,2.0,8.0,50,4.0,1.0
22345,108,8,5,19,15,2,05中正區,中正區南昌路2段222號前,0,2,1,C03,2,59.0,2.0,8.0,50,14.0,9.0
22346,108,8,5,19,15,2,05中正區,中正區南昌路2段222號前,0,2,2,C03,2,26.0,2.0,8.0,50,14.0,9.0
22347,108,8,7,19,45,2,05中正區,中正區廈門街與水源路口,0,1,1,C03,1,18.0,3.0,6.0,50,3.0,1.0
22348,108,8,7,19,45,2,05中正區,中正區廈門街與水源路口,0,1,2,C03,2,39.0,2.0,6.0,50,3.0,1.0
22349,108,8,8,14,20,2,05中正區,中正區寧波西街與詔安街口,0,1,1,C04,2,70.0,4.0,6.0,40,4.0,1.0
22350,108,8,8,14,20,2,05中正區,中正區寧波西街與詔安街口,0,1,2,C03,1,38.0,2.0,6.0,40,4.0,1.0
22351,108,8,14,17,5,2,05中正區,中正區羅斯福路2段136號前,0,2,1,C03,1,22.0,2.0,8.0,50,14.0,9.0
22352,108,8,14,17,5,2,05中正區,中正區羅斯福路2段136號前,0,2,2,C03,1,25.0,2.0,8.0,50,14.0,9.0
22353,108,8,14,17,5,2,05中正區,中正區羅斯福路2段136號前,0,2,3,B01,1,51.0,3.0,8.0,50,14.0,9.0
22354,108,8,14,17,5,2,05中正區,中正區羅斯福路2段136號前,0,2,4,B01,1,51.0,3.0,8.0,50,14.0,9.0
22355,108,8,15,12,21,2,05中正區,中正區汀州路3段與基隆路4段口,0,2,1,B01,1,63.0,3.0,8.0,50,4.0,1.0
22356,108,8,15,12,21,2,05中正區,中正區汀州路3段與基隆路4段口,0,2,2,H01,1,82.0,2.0,8.0,50,4.0,1.0
22357,108,8,15,12,21,2,05中正區,中正區汀州路3段與基隆路4段口,0,2,3,H01,2,76.0,2.0,8.0,50,4.0,1.0
22358,108,7,29,23,20,2,05中正區,中正區林森南路地下道,0,1,1,C02,1,38.0,2.0,8.0,50,9.0,7.0
22359,108,7,29,23,20,2,05中正區,中正區林森南路地下道,0,1,2,,3,0.0,,8.0,50,9.0,7.0
22360,108,7,30,16,45,2,05中正區,中正區汀州路2段271號,0,1,1,B03,1,52.0,3.0,8.0,50,14.0,9.0
22361,108,7,30,16,45,2,05中正區,中正區汀州路2段271號,0,1,2,C03,1,24.0,2.0,8.0,50,14.0,9.0
22362,108,8,20,18,25,2,05中正區,中正區重慶南路2段與寧波西街口,0,1,1,B01,1,74.0,3.0,6.0,50,4.0,2.0
22363,108,8,20,18,25,2,05中正區,中正區重慶南路2段與寧波西街口,0,1,2,H01,2,43.0,2.0,6.0,50,4.0,2.0
22364,108,8,21,9,10,2,05中正區,中正區思源街1號,0,1,1,C03,1,30.0,3.0,8.0,50,14.0,9.0
22365,108,8,21,9,10,2,05中正區,中正區思源街1號,0,1,2,C03,1,36.0,2.0,8.0,50,14.0,9.0
22366,108,8,3,7,45,2,05中正區,中正區汀州路2段與金門街口,0,1,1,B01,1,55.0,3.0,8.0,40,4.0,1.0
22367,108,8,3,7,45,2,05中正區,中正區汀州路2段與金門街口,0,1,2,C03,2,76.0,2.0,8.0,40,4.0,1.0
22368,108,7,31,11,33,2,05中正區,中正區羅斯福路3段66巷,0,1,1,C03,1,20.0,2.0,8.0,50,14.0,9.0
22369,108,7,31,11,33,2,05中正區,中正區羅斯福路3段66巷,0,1,2,,3,0.0,,8.0,50,14.0,9.0
22370,108,8,14,7,40,2,05中正區,中正區中華路2段與愛國西路口,0,1,1,B03,1,44.0,3.0,8.0,50,5.0,1.0
22371,108,8,14,7,40,2,05中正區,中正區中華路2段與愛國西路口,0,1,2,C03,1,25.0,2.0,8.0,50,5.0,1.0
22372,108,8,14,7,40,2,05中正區,中正區中華路2段與愛國西路口,0,1,3,H02,2,22.0,4.0,8.0,50,5.0,1.0
22373,108,8,14,13,55,2,05中正區,中正區重慶南路2段與愛國西路口,0,2,1,C03,2,30.0,2.0,8.0,50,4.0,2.0
22374,108,8,14,13,55,2,05中正區,中正區重慶南路2段與愛國西路口,0,2,2,C03,2,30.0,3.0,8.0,50,4.0,2.0
22375,108,8,14,13,55,2,05中正區,中正區重慶南路2段與愛國西路口,0,2,3,C03,1,26.0,2.0,8.0,50,4.0,2.0
22376,108,9,15,22,0,2,05中正區,中正區中華路2段與愛國西路口,0,1,1,C03,1,19.0,2.0,8.0,50,5.0,1.0
22377,108,9,15,22,0,2,05中正區,中正區中華路2段與愛國西路口,0,1,2,B03,2,45.0,3.0,8.0,50,5.0,1.0
22378,108,9,16,21,35,2,05中正區,中正區中華路2段33號,0,1,1,C03,1,40.0,2.0,8.0,50,14.0,9.0
22379,108,9,16,21,35,2,05中正區,中正區中華路2段33號,0,1,2,B01,1,49.0,3.0,8.0,50,14.0,9.0
22380,108,7,27,13,2,2,05中正區,中正區寧波西街與牯嶺街口,0,1,1,B03,1,42.0,3.0,6.0,50,4.0,1.0
22381,108,7,27,13,2,2,05中正區,中正區寧波西街與牯嶺街口,0,1,2,C03,1,49.0,2.0,6.0,50,4.0,1.0
22382,108,7,30,8,11,2,05中正區,中正區西藏路與惠安街口,0,1,1,B03,1,63.0,3.0,8.0,30,5.0,1.0
22383,108,7,30,8,11,2,05中正區,中正區西藏路與惠安街口,0,1,2,C03,1,19.0,2.0,8.0,30,5.0,1.0
22384,108,8,1,3,42,2,05中正區,中正區牯嶺街與福州街口,0,1,1,B01,1,58.0,3.0,8.0,50,4.0,1.0
22385,108,8,1,3,42,2,05中正區,中正區牯嶺街與福州街口,0,1,2,B03,1,61.0,2.0,8.0,50,4.0,1.0
22386,108,8,1,3,42,2,05中正區,中正區牯嶺街與福州街口,0,1,3,H02,2,24.0,4.0,8.0,50,4.0,1.0
22387,108,8,2,15,55,2,05中正區,中正區中華路2段與中華路2段39巷口,0,1,1,B03,1,45.0,3.0,8.0,40,3.0,1.0
22388,108,8,2,15,55,2,05中正區,中正區中華路2段與中華路2段39巷口,0,1,2,C03,1,22.0,2.0,8.0,40,3.0,1.0
22389,108,8,2,17,11,2,05中正區,中正區永福橋往新北市上橋處,0,2,1,C03,1,28.0,2.0,8.0,50,8.0,9.0
22390,108,8,2,17,11,2,05中正區,中正區永福橋往新北市上橋處,0,2,2,F01,1,35.0,2.0,8.0,50,8.0,9.0
22391,108,8,6,6,55,2,05中正區,中正區羅斯福路3段與羅斯福路3段316巷口,0,2,1,C03,1,65.0,2.0,8.0,50,4.0,2.0
22392,108,8,6,6,55,2,05中正區,中正區羅斯福路3段與羅斯福路3段316巷口,0,2,2,F01,1,87.0,2.0,8.0,50,4.0,2.0
22393,108,8,7,18,55,2,05中正區,中正區南海路107號,0,1,1,B03,1,24.0,3.0,6.0,50,14.0,9.0
22394,108,8,7,18,55,2,05中正區,中正區南海路107號,0,1,2,C03,2,44.0,2.0,6.0,50,14.0,9.0
22395,108,8,9,0,18,2,05中正區,中正區和平西路1段與廈門街口,0,1,2,B01,1,44.0,2.0,6.0,50,4.0,1.0
22396,108,7,13,6,25,2,05中正區,中正區汀州路3段與羅斯福路4段24巷口,0,1,1,B03,1,63.0,3.0,8.0,50,4.0,1.0
22397,108,7,13,6,25,2,05中正區,中正區汀州路3段與羅斯福路4段24巷口,0,1,2,C03,2,18.0,2.0,8.0,50,4.0,1.0
22398,108,7,13,6,25,2,05中正區,中正區汀州路3段與羅斯福路4段24巷口,0,1,3,H02,1,22.0,4.0,8.0,50,4.0,1.0
22399,108,7,14,1,0,2,05中正區,中正區基隆路4段與汀州路3段口,0,1,1,C03,1,23.0,3.0,8.0,50,4.0,1.0
22400,108,7,14,1,0,2,05中正區,中正區基隆路4段與汀州路3段口,0,1,2,H01,1,35.0,2.0,8.0,50,4.0,1.0
22401,108,7,18,23,0,2,05中正區,中正區南海路與泉州街口,0,1,1,C03,1,20.0,3.0,7.0,50,3.0,1.0
22402,108,7,18,23,0,2,05中正區,中正區南海路與泉州街口,0,1,2,C03,1,25.0,2.0,7.0,50,3.0,1.0
22403,108,7,20,3,40,2,05中正區,中正區汀州路2段與重慶南路3段口,0,1,1,B12,1,23.0,3.0,8.0,50,4.0,1.0
22404,108,7,20,3,40,2,05中正區,中正區汀州路2段與重慶南路3段口,0,1,2,C03,1,39.0,2.0,8.0,50,4.0,1.0
22405,108,7,20,3,40,2,05中正區,中正區汀州路2段與重慶南路3段口,0,1,3,H02,2,37.0,4.0,8.0,50,4.0,1.0
22406,108,9,2,17,30,2,05中正區,中正區三元街230巷與三元街口口,0,1,1,B03,1,38.0,3.0,8.0,50,4.0,1.0
22407,108,9,2,17,30,2,05中正區,中正區三元街230巷與三元街口口,0,1,2,C03,1,64.0,2.0,8.0,50,4.0,1.0
22408,108,7,5,22,56,2,05中正區,中正區汀州路3段160巷與汀州路3段104巷口,0,2,1,C03,2,66.0,2.0,7.0,30,3.0,1.0
22409,108,7,5,22,56,2,05中正區,中正區汀州路3段160巷與汀州路3段104巷口,0,2,2,C02,1,22.0,2.0,7.0,30,3.0,1.0
22410,108,8,4,12,55,2,05中正區,中正區重慶南路2段與南海路口,0,2,3,F01,1,23.0,2.0,8.0,50,4.0,1.0
22411,108,8,5,12,40,2,05中正區,中正區永福橋,0,1,1,C03,1,26.0,2.0,8.0,50,8.0,9.0
22412,108,9,12,17,55,2,05中正區,中正區泉州街15號,0,2,2,C03,1,31.0,2.0,8.0,50,14.0,12.0
22413,108,9,12,17,55,2,05中正區,中正區泉州街15號,0,2,1,C03,1,32.0,2.0,8.0,50,14.0,12.0
22414,108,9,3,10,4,2,05中正區,中正區愛國西路小南門捷運站四號出口,0,2,1,,4,0.0,4.0,8.0,50,14.0,8.0
22415,108,9,3,10,4,2,05中正區,中正區愛國西路小南門捷運站四號出口,0,2,2,C03,2,38.0,2.0,8.0,50,14.0,8.0
22416,108,9,3,10,4,2,05中正區,中正區愛國西路小南門捷運站四號出口,0,2,3,C03,1,34.0,2.0,8.0,50,14.0,8.0
22417,108,9,3,10,4,2,05中正區,中正區愛國西路小南門捷運站四號出口,0,2,4,B03,2,58.0,3.0,8.0,50,14.0,8.0
22418,108,9,3,10,4,2,05中正區,中正區愛國西路小南門捷運站四號出口,0,2,5,H02,2,34.0,4.0,8.0,50,14.0,8.0
22419,108,11,15,12,5,2,05中正區,中正區重慶南路2段與重慶南路2段70巷口,0,1,1,C03,2,33.0,2.0,8.0,50,14.0,9.0
22420,108,11,15,12,5,2,05中正區,中正區重慶南路2段與重慶南路2段70巷口,0,1,2,C03,2,37.0,3.0,8.0,50,14.0,9.0
22421,108,7,18,11,19,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,1,1,B12,1,43.0,3.0,8.0,50,5.0,1.0
22422,108,7,18,11,19,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,1,2,C03,2,50.0,2.0,8.0,50,5.0,1.0
22423,108,7,19,17,45,2,05中正區,中正區羅斯福路3段與師大路口,0,1,1,C03,1,27.0,2.0,8.0,50,14.0,9.0
22424,108,7,19,17,45,2,05中正區,中正區羅斯福路3段與師大路口,0,1,2,B11,1,45.0,3.0,8.0,50,14.0,9.0
22425,108,7,20,12,3,2,05中正區,中正區南海路與南昌路1段口,0,1,1,B01,1,65.0,3.0,8.0,30,5.0,1.0
22426,108,7,20,12,3,2,05中正區,中正區南海路與南昌路1段口,0,1,2,C04,1,84.0,2.0,8.0,30,5.0,1.0
22427,108,7,22,9,5,2,05中正區,中正區羅斯福路1段與愛國東路口,0,1,1,C03,2,22.0,2.0,8.0,50,4.0,1.0
22428,108,7,22,9,5,2,05中正區,中正區羅斯福路1段與愛國東路口,0,1,2,B03,1,43.0,3.0,8.0,50,4.0,1.0
22429,108,7,23,6,55,2,05中正區,中正區南昌路1段與南昌路1段74巷口,0,1,1,C03,1,53.0,2.0,8.0,30,4.0,1.0
22430,108,7,23,6,55,2,05中正區,中正區南昌路1段與南昌路1段74巷口,0,1,2,B03,1,61.0,3.0,8.0,30,4.0,1.0
22431,108,7,23,6,55,2,05中正區,中正區南昌路1段與南昌路1段74巷口,0,1,3,C03,2,53.0,3.0,8.0,30,4.0,1.0
22432,108,7,25,10,15,2,05中正區,中正區三元街與南海路口,0,2,2,F01,1,61.0,2.0,8.0,50,4.0,2.0
22433,108,7,25,10,15,2,05中正區,中正區三元街與南海路口,0,2,1,C03,1,36.0,2.0,8.0,50,4.0,2.0
22434,108,7,26,13,50,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,3,1,C03,1,37.0,2.0,8.0,50,5.0,1.0
22435,108,7,26,13,50,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,3,2,C03,1,25.0,2.0,8.0,50,5.0,1.0
22436,108,7,26,13,50,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,3,3,H02,2,27.0,2.0,8.0,50,5.0,1.0
22437,108,7,30,13,15,2,05中正區,中正區汀州路3段72號,0,1,1,B03,2,70.0,3.0,8.0,50,14.0,8.0
22438,108,7,30,13,15,2,05中正區,中正區汀州路3段72號,0,1,2,C04,2,25.0,2.0,8.0,50,14.0,8.0
22439,108,8,25,13,35,2,05中正區,中正區愛國西路與博愛路口,0,1,1,E05,1,45.0,3.0,8.0,50,4.0,1.0
22440,108,8,25,13,35,2,05中正區,中正區愛國西路與博愛路口,0,1,2,C03,1,64.0,2.0,8.0,50,4.0,1.0
22441,108,8,28,19,15,2,05中正區,中正區永福橋往永和,0,2,1,C03,4,0.0,4.0,8.0,50,8.0,9.0
22442,108,8,28,19,15,2,05中正區,中正區永福橋往永和,0,2,3,C03,2,27.0,2.0,8.0,50,8.0,9.0
22443,108,8,28,19,15,2,05中正區,中正區永福橋往永和,0,2,4,C03,1,27.0,3.0,8.0,50,8.0,9.0
22444,108,8,28,19,15,2,05中正區,中正區永福橋往永和,0,2,2,C03,1,24.0,3.0,8.0,50,8.0,9.0
