發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
511,110,1,4,15,5,2,05中正區,中正區中山南路與信義路1段口,0,0,1,1,C03,7,1,5,50,5,1,1,5,4,5,7,2,1,1,4,1,1,12,1,40.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,1.0,14.0,,43.0,43,1.0,21.0,8.0,121.5179423,25.03858698
512,110,1,4,15,5,2,05中正區,中正區中山南路與信義路1段口,0,0,1,2,B01,7,1,5,50,5,1,1,5,4,5,7,2,1,1,4,1,1,12,1,66.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,8.0,,43.0,43,1.0,21.0,8.0,121.5179423,25.03858698
606,110,1,4,23,0,2,05中正區,中正區市民大道2段與林森北路口口,0,0,1,1,C03,6,3,5,40,4,2,1,4,4,5,7,2,1,9,4,5,1,18,1,25.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,43.0,43,1.0,21.0,1.0,121.5242347,25.04767246
608,110,1,4,23,0,2,05中正區,中正區市民大道2段與林森北路口口,0,0,1,2,,6,3,5,40,4,2,1,4,4,5,7,2,1,9,4,5,1,18,3,,,,,,,,,,,,,67.0,43,1.0,,,121.5242347,25.04767246
670,110,1,5,8,56,2,05中正區,中正區羅斯福路3段與辛亥路1段口口,0,0,2,1,C04,7,1,5,50,4,1,1,4,4,5,7,1,1,1,4,5,1,15,1,59.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,25.0,25,1.0,22.0,9.0,121.5293797,25.01948235
671,110,1,5,8,56,2,05中正區,中正區羅斯福路3段與辛亥路1段口口,0,0,2,2,C03,7,1,5,50,4,1,1,4,4,5,7,1,1,1,4,5,1,15,1,37.0,2.0,9.0,1.0,1.0,7.0,1.0,1.0,10.0,2.0,14.0,,44.0,25,1.0,22.0,9.0,121.5293797,25.01948235
677,110,1,5,9,45,2,05中正區,中正區重慶南路1段100號,0,0,2,1,H01,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,9,1,70.0,2.0,9.0,4.0,1.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,67,1.0,22.0,9.0,121.5131825,25.04236618
678,110,1,5,9,45,2,05中正區,中正區重慶南路1段100號,0,0,2,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,9,1,38.0,2.0,1.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,44.0,67,1.0,22.0,9.0,121.5131825,25.04236618
679,110,1,5,9,45,2,05中正區,中正區重慶南路1段100號,0,0,2,3,B03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,9,2,58.0,4.0,11.0,3.0,4.0,7.0,21.0,7.0,19.0,11.0,15.0,,43.0,67,2.0,22.0,9.0,121.5131825,25.04236618
725,110,1,5,12,57,2,05中正區,中正區市民大道1段168號前,0,0,1,1,B01,7,1,5,40,15,6,1,5,4,5,7,4,4,1,4,5,1,12,1,59.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,2.0,2.0,7.0,,8.0,8,1.0,22.0,9.0,121.5185278,25.04831238
726,110,1,5,12,57,2,05中正區,中正區市民大道1段168號前,0,0,1,2,C03,7,1,5,40,15,6,1,5,4,5,7,4,4,1,4,5,1,12,1,35.0,2.0,6.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,13.0,8,1.0,22.0,9.0,121.5185278,25.04831238
731,110,1,5,13,8,2,05中正區,中正區忠孝東路1段與紹興南街口,0,0,1,1,B01,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,23,1,63.0,2.0,8.0,1.0,1.0,7.0,5.0,1.0,4.0,2.0,8.0,,23.0,23,1.0,22.0,9.0,121.5252438,25.04435893
732,110,1,5,13,8,2,05中正區,中正區忠孝東路1段與紹興南街口,0,0,1,2,,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,23,3,,,,,,,,,,,,,67.0,23,1.0,,,121.5252438,25.04435893
742,110,1,5,14,25,2,05中正區,中正區重慶南路3段與汀州路2段口,0,0,2,1,C03,8,1,8,50,4,1,1,5,4,5,7,2,1,5,4,5,2,12,1,21.0,2.0,1.0,1.0,1.0,7.0,5.0,1.0,10.0,1.0,11.0,,6.0,6,1.0,22.0,9.0,121.516309,25.02569013
743,110,1,5,14,25,2,05中正區,中正區重慶南路3段與汀州路2段口,0,0,2,2,C03,8,1,8,50,4,1,1,5,4,5,7,2,1,5,4,5,2,12,2,45.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,44.0,6,1.0,22.0,9.0,121.516309,25.02569013
744,110,1,5,14,30,2,05中正區,中正區忠孝東路2段48號,0,0,1,1,B03,8,1,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,17,1,29.0,3.0,10.0,1.0,1.0,7.0,8.0,1.0,4.0,1.0,5.0,,6.0,6,1.0,22.0,9.0,121.5284126,25.04346127
745,110,1,5,14,30,2,05中正區,中正區忠孝東路2段48號,0,0,1,2,C03,8,1,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,17,1,27.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,14.0,,44.0,6,1.0,22.0,9.0,121.5284126,25.04346127
748,110,1,5,14,56,2,05中正區,中正區忠孝西路1段與館前路口,0,0,1,1,A02,7,1,5,50,4,2,1,5,4,5,7,1,1,1,4,5,2,9,1,46.0,3.0,10.0,1.0,1.0,7.0,12.0,1.0,2.0,2.0,15.0,,43.0,43,1.0,22.0,9.0,121.5146796,25.04686936
749,110,1,5,14,56,2,05中正區,中正區忠孝西路1段與館前路口,0,0,1,2,H02,7,1,5,50,4,2,1,5,4,5,7,1,1,1,4,5,2,9,2,67.0,2.0,3.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,43,1.0,22.0,9.0,121.5146796,25.04686936
776,110,1,5,17,25,2,05中正區,中正區重慶南路3段與和平西路1段口,0,0,1,1,B03,6,3,5,50,5,1,1,4,4,5,7,1,1,1,4,5,2,12,1,47.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,8.0,,44.0,44,1.0,22.0,9.0,121.516015,25.0273173
777,110,1,5,17,25,2,05中正區,中正區重慶南路3段與和平西路1段口,0,0,1,2,C03,6,3,5,50,5,1,1,4,4,5,7,1,1,1,4,5,2,12,1,19.0,2.0,9.0,1.0,1.0,7.0,8.0,1.0,10.0,1.0,12.0,,7.0,44,1.0,22.0,9.0,121.516015,25.0273173
813,110,1,5,19,32,2,05中正區,中正區仁愛路2段與金山南路1段口,0,0,1,1,C03,7,3,5,50,4,2,1,5,4,5,7,2,1,1,4,1,2,13,1,48.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,16.0,16,1.0,22.0,9.0,121.5286425,25.03833258
814,110,1,5,19,32,2,05中正區,中正區仁愛路2段與金山南路1段口,0,0,1,2,B03,7,3,5,50,4,2,1,5,4,5,7,2,1,1,4,1,2,13,1,44.0,3.0,10.0,1.0,1.0,7.0,12.0,1.0,8.0,2.0,7.0,,42.0,16,1.0,22.0,9.0,121.5286425,25.03833258
843,110,1,5,21,54,2,05中正區,中正區公園路與凱達格蘭大道口,0,0,1,1,B03,6,3,5,50,4,1,1,4,4,5,7,1,1,5,4,5,2,17,2,56.0,4.0,11.0,3.0,4.0,7.0,21.0,7.0,19.0,11.0,15.0,,6.0,6,2.0,22.0,9.0,121.5156498,25.03951637
844,110,1,5,21,54,2,05中正區,中正區公園路與凱達格蘭大道口,0,0,1,2,C03,6,3,5,50,4,1,1,4,4,5,7,1,1,5,4,5,2,17,1,58.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,11.0,12.0,,13.0,6,1.0,22.0,9.0,121.5156498,25.03951637
851,110,1,5,23,15,2,05中正區,中正區忠孝東路2段123號旁,0,0,1,1,B01,6,3,5,50,14,8,1,4,4,5,7,2,1,9,4,4,1,17,1,56.0,3.0,10.0,1.0,1.0,7.0,8.0,1.0,4.0,1.0,3.0,,43.0,43,1.0,21.0,1.0,121.5327795,25.04285165
852,110,1,5,23,15,2,05中正區,中正區忠孝東路2段123號旁,0,0,1,2,C03,6,3,5,50,14,8,1,4,4,5,7,2,1,9,4,4,1,17,1,34.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,43.0,43,1.0,21.0,1.0,121.5327795,25.04285165
926,110,1,6,15,47,2,05中正區,中正區中山南路與凱達格蘭大道口,0,0,1,1,C03,7,1,5,50,5,2,1,5,4,5,7,1,1,1,4,1,2,16,1,20.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,,26.0,26,1.0,22.0,9.0,121.5175032,25.03937496
927,110,1,6,15,47,2,05中正區,中正區中山南路與凱達格蘭大道口,0,0,1,2,C03,7,1,5,50,5,2,1,5,4,5,7,1,1,1,4,1,2,16,2,40.0,2.0,9.0,1.0,1.0,7.0,6.0,1.0,10.0,2.0,11.0,,9.0,26,1.0,22.0,9.0,121.5175032,25.03937496
953,110,1,6,17,30,2,05中正區,中正區漢口街1段85號,0,0,1,1,C03,6,3,5,50,14,9,1,4,4,5,7,4,4,9,4,5,2,13,1,65.0,2.0,3.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,16.0,16,1.0,22.0,9.0,121.5113197,25.04514286
954,110,1,6,17,30,2,05中正區,中正區漢口街1段85號,0,0,1,2,B01,6,3,5,50,14,9,1,4,4,5,7,4,4,9,4,5,2,13,1,52.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,4.0,2.0,3.0,,44.0,16,1.0,22.0,9.0,121.5113197,25.04514286
955,110,1,6,17,30,2,05中正區,中正區漢口街1段85號,0,0,1,3,B03,6,3,5,50,14,9,1,4,4,5,7,4,4,9,4,5,2,13,1,46.0,3.0,10.0,1.0,1.0,7.0,3.0,1.0,8.0,2.0,15.0,,44.0,16,1.0,22.0,9.0,121.5113197,25.04514286
958,110,1,6,17,47,2,05中正區,中正區新生南路1段與仁愛路2段口,0,0,1,1,B03,6,3,5,50,4,1,1,4,4,5,7,1,1,1,4,1,2,16,2,27.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,8.0,2.0,2.0,,17.0,17,1.0,22.0,9.0,121.532636,25.03830741
959,110,1,6,17,47,2,05中正區,中正區新生南路1段與仁愛路2段口,0,0,1,2,C03,6,3,5,50,4,1,1,4,4,5,7,1,1,1,4,1,2,16,2,56.0,2.0,9.0,1.0,1.0,7.0,6.0,1.0,10.0,2.0,14.0,,17.0,17,1.0,22.0,9.0,121.532636,25.03830741
1008,110,1,6,21,40,2,05中正區,中正區仁愛路1段與杭州南路1段口口,0,0,1,1,C03,6,3,5,50,4,2,1,4,4,5,7,2,1,9,4,4,1,3,2,60.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,42.0,42,1.0,21.0,1.0,121.5251965,25.03846766
1009,110,1,6,21,40,2,05中正區,中正區仁愛路1段與杭州南路1段口口,0,0,1,2,H01,6,3,5,50,4,2,1,4,4,5,7,2,1,9,4,4,1,3,1,41.0,3.0,10.0,4.0,5.0,8.0,16.0,8.0,20.0,1.0,16.0,,52.0,42,1.0,20.0,1.0,121.5251965,25.03846766
1069,110,1,7,8,29,2,05中正區,中正區連雲街與臨沂街61巷口,0,0,1,1,C03,6,1,5,30,4,1,1,4,4,5,7,4,4,10,5,5,2,15,2,42.0,2.0,9.0,1.0,4.0,7.0,9.0,1.0,10.0,1.0,12.0,,6.0,6,1.0,22.0,1.0,121.5312507,25.03558899
1070,110,1,7,8,29,2,05中正區,中正區連雲街與臨沂街61巷口,0,0,1,2,B12,6,1,5,30,4,1,1,4,4,5,7,4,4,10,5,5,2,15,1,48.0,3.0,10.0,3.0,1.0,7.0,9.0,1.0,8.0,1.0,1.0,,14.0,6,1.0,1.0,1.0,121.5312507,25.03558899
1089,110,1,7,9,30,2,05中正區,中正區仁愛路1段50號,0,0,1,1,B01,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,17,1,53.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,4.0,2.0,5.0,,19.0,19,1.0,22.0,9.0,121.5250648,25.03819722
1090,110,1,7,9,30,2,05中正區,中正區仁愛路1段50號,0,0,1,2,C03,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,17,1,21.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,14.0,,44.0,19,1.0,22.0,9.0,121.5250648,25.03819722
1099,110,1,7,10,6,2,05中正區,中正區羅斯福路3段90號前,0,0,2,1,C03,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,1,13,1,20.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23,1.0,22.0,9.0,121.526976,25.02161789
1100,110,1,7,10,6,2,05中正區,中正區羅斯福路3段90號前,0,0,2,2,C03,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,1,13,1,38.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,,16.0,23,1.0,22.0,9.0,121.526976,25.02161789
1101,110,1,7,10,6,2,05中正區,中正區羅斯福路3段90號前,0,0,2,3,C03,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,1,13,1,37.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,,44.0,23,1.0,22.0,9.0,121.526976,25.02161789
1117,110,1,7,11,15,2,05中正區,中正區忠孝東路1段7號,0,0,1,1,B01,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,1,12,1,67.0,3.0,10.0,3.0,4.0,7.0,8.0,1.0,4.0,2.0,15.0,,7.0,7,1.0,22.0,9.0,121.522574,25.0450692
1118,110,1,7,11,15,2,05中正區,中正區忠孝東路1段7號,0,0,1,2,C03,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,1,12,1,29.0,2.0,9.0,3.0,4.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,7,1.0,22.0,9.0,121.522574,25.0450692
1160,110,1,7,15,51,2,05中正區,中正區中華路1段與寶慶路口,0,0,2,1,C03,6,1,5,50,5,1,1,4,4,5,7,2,1,1,4,5,2,12,1,54.0,2.0,8.0,1.0,1.0,7.0,8.0,1.0,10.0,2.0,15.0,,7.0,7,1.0,22.0,9.0,121.5085064,25.04200301
1161,110,1,7,15,51,2,05中正區,中正區中華路1段與寶慶路口,0,0,2,2,C03,6,1,5,50,5,1,1,4,4,5,7,2,1,1,4,5,2,12,1,27.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,44.0,7,1.0,5.0,9.0,121.5085064,25.04200301
1189,110,1,7,18,27,2,05中正區,中正區羅斯福路3段與金門街口,0,0,1,1,B03,6,3,5,50,3,1,1,4,4,5,7,1,1,3,4,5,2,17,1,63.0,3.0,10.0,1.0,1.0,7.0,7.0,1.0,8.0,2.0,4.0,,6.0,6,1.0,22.0,9.0,121.5249958,25.02358349
1190,110,1,7,18,27,2,05中正區,中正區羅斯福路3段與金門街口,0,0,1,2,C04,6,3,5,50,3,1,1,4,4,5,7,1,1,3,4,5,2,17,2,55.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,11.0,2.0,12.0,,44.0,6,1.0,22.0,9.0,121.5249958,25.02358349
1259,110,1,8,3,0,2,05中正區,中正區懷寧街與漢口街1段口,0,0,1,1,B01,6,3,5,50,4,1,1,4,4,5,7,3,1,9,5,5,2,15,1,42.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,4.0,2.0,1.0,,6.0,6,1.0,21.0,8.0,121.5142569,25.0452022
1260,110,1,8,3,0,2,05中正區,中正區懷寧街與漢口街1段口,0,0,1,2,C03,6,3,5,50,4,1,1,4,4,5,7,3,1,9,5,5,2,15,1,24.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,9.0,2.0,14.0,,14.0,6,1.0,21.0,8.0,121.5142569,25.0452022
1271,110,1,8,6,50,2,05中正區,中正區羅斯福路1段75號,0,0,1,1,C03,6,1,5,50,14,7,1,4,4,5,7,4,4,3,4,4,2,18,1,56.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,44.0,44,1.0,22.0,9.0,121.5193232,25.03137736
1272,110,1,8,6,50,2,05中正區,中正區羅斯福路1段75號,0,0,1,2,,6,1,5,50,14,7,1,4,4,5,7,4,4,3,4,4,2,18,3,,,,,,,,,,,,,62.0,44,1.0,,,121.5193232,25.03137736
1277,110,1,8,7,10,2,05中正區,中正區和平西路2段104巷與和平西路2段口,0,0,1,1,C03,6,1,5,50,14,9,1,4,4,5,7,4,4,3,4,5,2,17,1,50.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,44.0,44,1.0,22.0,9.0,121.5082668,25.030974
