,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
16681,107,7,10,9,2,2,05中正區,中正區仁愛路2段與臨沂街口,0,1,1,B03,1,69.0,3.0,6,40,15.0,8.0
16744,107,7,10,9,2,2,05中正區,中正區仁愛路2段與臨沂街口,0,1,2,C03,1,28.0,2.0,6,40,15.0,8.0
16745,107,11,21,9,20,2,05中正區,中正區重慶南路1段與寶慶路口,0,1,1,B03,1,24.0,4.0,8,50,15.0,9.0
16746,107,11,21,9,20,2,05中正區,中正區重慶南路1段與寶慶路口,0,1,2,C03,2,53.0,2.0,8,50,15.0,9.0
16747,107,11,21,9,20,2,05中正區,中正區忠孝西路1段與重慶南路1段口,0,1,1,B12,1,29.0,3.0,8,50,4.0,2.0
16748,107,11,21,9,20,2,05中正區,中正區忠孝西路1段與重慶南路1段口,0,1,2,C03,2,37.0,2.0,8,50,4.0,2.0
16749,107,2,5,20,0,2,05中正區,中正區漢口街1段與懷寧街口,0,2,1,C03,1,18.0,2.0,7,50,4.0,2.0
16750,107,2,5,20,0,2,05中正區,中正區漢口街1段與懷寧街口,0,2,2,H01,2,30.0,2.0,7,50,4.0,2.0
16751,107,7,19,13,48,2,05中正區,中正區重慶南路1段與襄陽路口,0,1,1,B01,1,53.0,3.0,8,50,3.0,1.0
16752,107,7,19,13,48,2,05中正區,中正區重慶南路1段與襄陽路口,0,1,2,C03,1,57.0,2.0,8,50,3.0,1.0
16753,107,11,8,8,40,2,05中正區,中正區徐州路2號前,0,1,1,B03,1,41.0,3.0,8,50,14.0,7.0
16754,107,11,8,8,40,2,05中正區,中正區徐州路2號前,0,1,2,C03,2,22.0,2.0,8,50,14.0,7.0
16755,107,11,8,8,40,2,05中正區,中正區徐州路2號前,0,1,3,B02,1,42.0,4.0,8,50,14.0,7.0
16756,107,12,7,8,6,2,05中正區,中正區中山南路與信義路1段口口,0,2,1,C03,1,18.0,3.0,7,50,5.0,1.0
16757,107,12,7,8,6,2,05中正區,中正區中山南路與信義路1段口口,0,2,2,C03,1,59.0,2.0,7,50,5.0,1.0
16758,107,12,7,8,6,2,05中正區,中正區中山南路與信義路1段口口,0,2,3,H02,2,22.0,2.0,7,50,5.0,1.0
